timestamp,value,unit
2026-03-12 17:00:00,32.4,movements/h
2026-03-12 17:05:00,34.6,movements/h
2026-03-12 17:10:00,25.5,movements/h
2026-03-12 17:15:00,31.0,movements/h
2026-03-12 17:20:00,26.3,movements/h
2026-03-12 17:25:00,26.0,movements/h
2026-03-12 17:30:00,34.8,movements/h
2026-03-12 17:35:00,32.0,movements/h
2026-03-12 17:40:00,27.6,movements/h
2026-03-12 17:45:00,30.7,movements/h
2026-03-12 17:50:00,31.9,movements/h
2026-03-12 17:55:00,30.5,movements/h
2026-03-12 18:00:00,36.7,movements/h
2026-03-12 18:05:00,31.8,movements/h
2026-03-12 18:10:00,21.0,movements/h
2026-03-12 18:15:00,29.1,movements/h
2026-03-12 18:20:00,27.8,movements/h
2026-03-12 18:25:00,29.4,movements/h
2026-03-12 18:30:00,30.0,movements/h
2026-03-12 18:35:00,28.0,movements/h
2026-03-12 18:40:00,26.7,movements/h
2026-03-12 18:45:00,34.1,movements/h
2026-03-12 18:50:00,31.8,movements/h
2026-03-12 18:55:00,28.0,movements/h
2026-03-12 19:00:00,32.0,movements/h
2026-03-12 19:05:00,32.0,movements/h
2026-03-12 19:10:00,33.8,movements/h
2026-03-12 19:15:00,26.8,movements/h
2026-03-12 19:20:00,32.3,movements/h
2026-03-12 19:25:00,28.2,movements/h
2026-03-12 19:30:00,33.5,movements/h
2026-03-12 19:35:00,29.4,movements/h
2026-03-12 19:40:00,23.2,movements/h
2026-03-12 19:45:00,30.1,movements/h
2026-03-12 19:50:00,24.6,movements/h
2026-03-12 19:55:00,29.3,movements/h
2026-03-12 20:00:00,13.8,movements/h
2026-03-12 20:05:00,12.8,movements/h
2026-03-12 20:10:00,9.5,movements/h
2026-03-12 20:15:00,10.7,movements/h
2026-03-12 20:20:00,11.5,movements/h
2026-03-12 20:25:00,13.3,movements/h
2026-03-12 20:30:00,17.9,movements/h
2026-03-12 20:35:00,16.1,movements/h
2026-03-12 20:40:00,12.6,movements/h
2026-03-12 20:45:00,17.8,movements/h
2026-03-12 20:50:00,9.9,movements/h
2026-03-12 20:55:00,16.1,movements/h
2026-03-12 21:00:00,13.5,movements/h
2026-03-12 21:05:00,14.7,movements/h
2026-03-12 21:10:00,15.9,movements/h
2026-03-12 21:15:00,12.0,movements/h
2026-03-12 21:20:00,16.4,movements/h
2026-03-12 21:25:00,14.0,movements/h
2026-03-12 21:30:00,21.2,movements/h
2026-03-12 21:35:00,13.1,movements/h
2026-03-12 21:40:00,17.8,movements/h
2026-03-12 21:45:00,15.9,movements/h
2026-03-12 21:50:00,10.5,movements/h
2026-03-12 21:55:00,18.1,movements/h
2026-03-12 22:00:00,10.8,movements/h
2026-03-12 22:05:00,7.3,movements/h
2026-03-12 22:10:00,16.6,movements/h
2026-03-12 22:15:00,17.2,movements/h
2026-03-12 22:20:00,14.2,movements/h
2026-03-12 22:25:00,13.2,movements/h
2026-03-12 22:30:00,18.8,movements/h
2026-03-12 22:35:00,16.1,movements/h
2026-03-12 22:40:00,12.0,movements/h
2026-03-12 22:45:00,16.2,movements/h
2026-03-12 22:50:00,10.3,movements/h
2026-03-12 22:55:00,12.3,movements/h
2026-03-12 23:00:00,10.8,movements/h
2026-03-12 23:05:00,7.4,movements/h
2026-03-12 23:10:00,10.5,movements/h
2026-03-12 23:15:00,17.7,movements/h
2026-03-12 23:20:00,10.7,movements/h
2026-03-12 23:25:00,12.3,movements/h
2026-03-12 23:30:00,10.5,movements/h
2026-03-12 23:35:00,16.6,movements/h
2026-03-12 23:40:00,14.0,movements/h
2026-03-12 23:45:00,15.5,movements/h
2026-03-12 23:50:00,13.7,movements/h
2026-03-12 23:55:00,10.5,movements/h
