timestamp,value,unit,zone
2026-03-12 17:00:00,31.4,min,Security A
2026-03-12 17:05:00,36.9,min,Security A
2026-03-12 17:10:00,43.6,min,Security A
2026-03-12 17:15:00,35.2,min,Security A
2026-03-12 17:20:00,32.5,min,Security A
2026-03-12 17:25:00,32.0,min,Security A
2026-03-12 17:30:00,32,min,Security A
2026-03-12 17:35:00,32,min,Security A
2026-03-12 17:40:00,34.4,min,Security A
2026-03-12 17:45:00,35.3,min,Security A
2026-03-12 17:50:00,44.2,min,Security A
2026-03-12 17:55:00,39.7,min,Security A
2026-03-12 18:00:00,40.2,min,Security A
2026-03-12 18:05:00,31.4,min,Security A
2026-03-12 18:10:00,38.3,min,Security A
2026-03-12 18:15:00,29.3,min,Security A
2026-03-12 18:20:00,36.6,min,Security A
2026-03-12 18:25:00,37.1,min,Security A
2026-03-12 18:30:00,31.2,min,Security A
2026-03-12 18:35:00,45.0,min,Security A
2026-03-12 18:40:00,37.8,min,Security A
2026-03-12 18:45:00,25.5,min,Security A
2026-03-12 18:50:00,37.8,min,Security A
2026-03-12 18:55:00,33.0,min,Security A
2026-03-12 19:00:00,35.0,min,Security A
2026-03-12 19:05:00,37.3,min,Security A
2026-03-12 19:10:00,37.0,min,Security A
2026-03-12 19:15:00,24.8,min,Security A
2026-03-12 19:20:00,29.2,min,Security A
2026-03-12 19:25:00,38.9,min,Security A
2026-03-12 19:30:00,41.5,min,Security A
2026-03-12 19:35:00,44.5,min,Security A
2026-03-12 19:40:00,44.0,min,Security A
2026-03-12 19:45:00,24.7,min,Security A
2026-03-12 19:50:00,38.8,min,Security A
2026-03-12 19:55:00,25.4,min,Security A
2026-03-12 20:00:00,16.8,min,Security A
2026-03-12 20:05:00,12.8,min,Security A
2026-03-12 20:10:00,8.6,min,Security A
2026-03-12 20:15:00,18.0,min,Security A
2026-03-12 20:20:00,13.9,min,Security A
2026-03-12 20:25:00,6.3,min,Security A
2026-03-12 20:30:00,12.9,min,Security A
2026-03-12 20:35:00,9.8,min,Security A
2026-03-12 20:40:00,12.3,min,Security A
2026-03-12 20:45:00,10.6,min,Security A
2026-03-12 20:50:00,16.1,min,Security A
2026-03-12 20:55:00,7.7,min,Security A
2026-03-12 21:00:00,13.0,min,Security A
2026-03-12 21:05:00,17.4,min,Security A
2026-03-12 21:10:00,9.5,min,Security A
2026-03-12 21:15:00,12.6,min,Security A
2026-03-12 21:20:00,12.6,min,Security A
2026-03-12 21:25:00,9.9,min,Security A
2026-03-12 21:30:00,13.9,min,Security A
2026-03-12 21:35:00,12.3,min,Security A
2026-03-12 21:40:00,9.2,min,Security A
2026-03-12 21:45:00,17.3,min,Security A
2026-03-12 21:50:00,14.4,min,Security A
2026-03-12 21:55:00,11.5,min,Security A
2026-03-12 22:00:00,10.1,min,Security A
2026-03-12 22:05:00,9.6,min,Security A
2026-03-12 22:10:00,15.7,min,Security A
2026-03-12 22:15:00,11.6,min,Security A
2026-03-12 22:20:00,13.4,min,Security A
2026-03-12 22:25:00,11.4,min,Security A
2026-03-12 22:30:00,13.8,min,Security A
2026-03-12 22:35:00,11.7,min,Security A
2026-03-12 22:40:00,14.3,min,Security A
2026-03-12 22:45:00,11.5,min,Security A
2026-03-12 22:50:00,14.5,min,Security A
2026-03-12 22:55:00,14.0,min,Security A
2026-03-12 23:00:00,11.7,min,Security A
2026-03-12 23:05:00,9.4,min,Security A
2026-03-12 23:10:00,9.2,min,Security A
2026-03-12 23:15:00,9.8,min,Security A
2026-03-12 23:20:00,9.0,min,Security A
2026-03-12 23:25:00,14.6,min,Security A
2026-03-12 23:30:00,11.9,min,Security A
2026-03-12 23:35:00,16.7,min,Security A
2026-03-12 23:40:00,18.8,min,Security A
2026-03-12 23:45:00,12.1,min,Security A
2026-03-12 23:50:00,7.4,min,Security A
2026-03-12 23:55:00,10.9,min,Security A
2026-03-13 00:00:00,2.9,min,Security A
2026-03-13 00:05:00,1.5,min,Security A
2026-03-13 00:10:00,2.7,min,Security A
2026-03-13 00:15:00,3.3,min,Security A
2026-03-13 00:20:00,2.5,min,Security A
2026-03-13 00:25:00,2.2,min,Security A
2026-03-13 00:30:00,2.2,min,Security A
2026-03-13 00:35:00,4.8,min,Security A
2026-03-13 00:40:00,2.8,min,Security A
2026-03-13 00:45:00,2.2,min,Security A
2026-03-13 00:50:00,2.6,min,Security A
2026-03-13 00:55:00,4.0,min,Security A
2026-03-13 01:00:00,2.3,min,Security A
2026-03-13 01:05:00,3.5,min,Security A
2026-03-13 01:10:00,3.7,min,Security A
2026-03-13 01:15:00,3.7,min,Security A
2026-03-13 01:20:00,4.4,min,Security A
2026-03-13 01:25:00,2.4,min,Security A
2026-03-13 01:30:00,4.1,min,Security A
2026-03-13 01:35:00,2.2,min,Security A
2026-03-13 01:40:00,2.6,min,Security A
2026-03-13 01:45:00,4.2,min,Security A
2026-03-13 01:50:00,3.8,min,Security A
2026-03-13 01:55:00,3.0,min,Security A
2026-03-13 02:00:00,1.8,min,Security A
2026-03-13 02:05:00,3.6,min,Security A
2026-03-13 02:10:00,2.4,min,Security A
2026-03-13 02:15:00,2.1,min,Security A
2026-03-13 02:20:00,2.4,min,Security A
2026-03-13 02:25:00,3.2,min,Security A
2026-03-13 02:30:00,1,min,Security A
2026-03-13 02:35:00,3.4,min,Security A
2026-03-13 02:40:00,3.2,min,Security A
2026-03-13 02:45:00,2.4,min,Security A
2026-03-13 02:50:00,4.0,min,Security A
2026-03-13 02:55:00,3.6,min,Security A
2026-03-13 03:00:00,2.4,min,Security A
2026-03-13 03:05:00,2.3,min,Security A
2026-03-13 03:10:00,3.7,min,Security A
2026-03-13 03:15:00,1.5,min,Security A
2026-03-13 03:20:00,2.7,min,Security A
2026-03-13 03:25:00,2.4,min,Security A
2026-03-13 03:30:00,3.1,min,Security A
2026-03-13 03:35:00,3.2,min,Security A
2026-03-13 03:40:00,3.0,min,Security A
2026-03-13 03:45:00,4.1,min,Security A
2026-03-13 03:50:00,3.2,min,Security A
2026-03-13 03:55:00,2.7,min,Security A
2026-03-13 04:00:00,1.8,min,Security A
2026-03-13 04:05:00,3.7,min,Security A
2026-03-13 04:10:00,3.5,min,Security A
2026-03-13 04:15:00,4.5,min,Security A
2026-03-13 04:20:00,2.3,min,Security A
2026-03-13 04:25:00,3.0,min,Security A
2026-03-13 04:30:00,2.9,min,Security A
2026-03-13 04:35:00,2.9,min,Security A
2026-03-13 04:40:00,3.0,min,Security A
2026-03-13 04:45:00,1.3,min,Security A
2026-03-13 04:50:00,3.8,min,Security A
2026-03-13 04:55:00,3.7,min,Security A
2026-03-13 05:00:00,4.1,min,Security A
2026-03-13 05:05:00,5.2,min,Security A
2026-03-13 05:10:00,2.7,min,Security A
2026-03-13 05:15:00,3.0,min,Security A
2026-03-13 05:20:00,3.0,min,Security A
2026-03-13 05:25:00,4.9,min,Security A
2026-03-13 05:30:00,1.3,min,Security A
2026-03-13 05:35:00,3.5,min,Security A
2026-03-13 05:40:00,1.5,min,Security A
2026-03-13 05:45:00,1,min,Security A
2026-03-13 05:50:00,1,min,Security A
2026-03-13 05:55:00,1.6,min,Security A
2026-03-13 06:00:00,32.3,min,Security A
2026-03-13 06:05:00,24.5,min,Security A
2026-03-13 06:10:00,27.1,min,Security A
2026-03-13 06:15:00,23.3,min,Security A
